gene_id	gene_name	PS240001_53138_CA1_Reg_C_full	PS240007_53145_SUB_Reg_N_full	PS240010_53147_SUB_Bur_N_full	PS240016_53149_CA1_Reg_N_full	PS240019_53150_CA1_Reg_C_full	PS240028_53155_SUB_Reg_N_full	PS240037_53167_SUB_Bur_N_full	PS240046_53114_SUB_Bur_N_full	PS240089_53479_SUB_Bur_N_full	PS240090_54232_CA1_Reg_N_full	PS240091_54232_SUB_Bur_N_full	PS240092_54233_CA1_Reg_N_full	PS240093_54233_SUB_Reg_N_full	PS240094_54238_SUB_Reg_N_full	PS240095_54235_CA1_Reg_N_full	PS240096_54264_SUB_Reg_N_full	PS240097_54235_SUB_Reg_N_full	PS240098_54235_CA1_Reg_N_full	PS240099_54235_SUB_Reg_N_full	PS240100_53612_CA1_Reg_N_full	PS240101_53612_SUB_Reg_N_full	PS240102_53612_SUB_Reg_N_full	PS240103_53451_CA1_Reg_N_full	PS240104_53454_CA1_Reg_N_full	PS240105_53454_SUB_Bur_N_full	PS240106_54237_CA1_Reg_N_full	PS240107_54237_SUB_Bur_N_half	PS240108_54237_SUB_Reg_N_half	PS240109_54237_CA1_Reg_N_half	PS240110_53459_SUB_Reg_N_full
ENSMUSG00000029468	P2rx7	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	607	0	0	0	0	1	4
ENSMUSG00000029469	Ift81	65	7524	1113	5	3	1800	2181	1012.999	75	27	152.001	15	3	15	1239	189	259	740.002	327.999	24	172.001	323	1419.001	1275	418	6	962	1516	125	7
ENSMUSG00000029470	P2rx4	640	2	7	0	12	44	2	2	2	1	4.072	1	815.001	10	178	1	4	31	1	108	0	331	6	876.999	6925.998	15	0	2	1	21
ENSMUSG00000029471	Camkk2	2989	9	798	3759	314	3202	17	514	1109	1526	1939	884	1599	62	1290.999	3604	1581.545	1695	1480.999	2022.001	94.001	2038	1478	2066	474	1494	748	13	1541	1033
ENSMUSG00000029472	Anapc5	5562.001	11893	2172.001	135	6776.998	5586.944	4778.994	6286.994	2972	1807.001	4455.001	8779	1921	102	3382.001	2729.999	1841	4678	3420.93	3072	10066	3586	2521.999	5782.999	11252	5609.999	5368.998	7457	3484	7184.999
ENSMUSG00000029474	Rnf34	370.844	2.033	3528	140	36.707	30.878	625	4849	850	479.167	1952	658.003	578.43	29	2496	4500	1	1	3751.119	806.669	1256	1195	42	2287.073	1603.266	3353	18	594	0	3562
ENSMUSG00000029475	Kdm2b	813.356	0	909	3	2855.293	151.122	2	942.993	14	530.833	499	777.996	288.57	2	129	75	1	537	451.881	154.331	134	220	635	218.927	524.735	556.001	507	105	0	0
ENSMUSG00000029477	Morn3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029478	Ncor2	824	11	764.001	1027	744	890	1224.001	11	193	379	69	3	156	720.538	534	245	821	614	498	136	2583	334	180	1041.999	1101.028	430	280	795	444	181
ENSMUSG00000029480	Dhx37	3	1	192	0	1	0	9	0.999	0	71	15	0	143	0	43	105.001	0	0	1.029	9	15	15	681	2	1236	11	146	6	0	2
ENSMUSG00000029482	Aacs	2075	1	0	37	0	302	666	5064	1	209	2666	0	1492	17	567	973	0	3589	3608	298	156	958	850	6	4441	419	750	1541	799	2
ENSMUSG00000029484	Anxa3	0	0	0	0	2	0	3038	0	0	1837	1	0	1139	0	0	1	1068	0	17	3	0	0	5	1524.001	16	1	0	0	0	1
ENSMUSG00000029486	Mrpl1	251	2	1549	0	2	0	1664	4277	0	7	483.999	1063	102	28	1949	2116	1765	1574	1501.999	1465	8904	1361	1981	493	821	1739.999	2714	4759	562	4
ENSMUSG00000029490	Mfsd7a	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	15	0	0	0	0	0	3	0	0	0	0
ENSMUSG00000029491	Pde6b	8	8.009	2	4	2	0	3	3	4.083	0	4	4	1.011	3	3	12	4	1	3	2	3	3	8	2	1	4	1	0	1.029	15
ENSMUSG00000029499	Pxmp2	736.972	0	0	0	0	0	0	0	0	681	157	0	0	12	267.977	58	0	0	3	0	1	466.867	424	780	0	0	0	0	0	0
ENSMUSG00000029500	Pgam5	1104	1	1211	4	2321	2063	348	26	4	868	1902	408	1890	38	2492	438	2362	0	3691	1441	60	918	987	488	2185.999	926	307.713	5	3808	8
ENSMUSG00000029501	Ankle2	1298.001	1	198	186	7	666	817.92	3776	0	26	96	1333	768.03	26	2173	2	605	0	285	1124.999	1298	976	11	445	337.012	803.534	32	9	0	35
ENSMUSG00000029502	Golga3	1	6.008	1	4738	31	2	220	891	0	1915.999	373	1500	15	6	126	2426	181	0	42	2	21	219	1207	11	2	8	9	80.999	1990	5
ENSMUSG00000029503	P2rx2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	60	0	0	0	0	0	386	0	0	0	0
ENSMUSG00000029504	Ddx51	110	0	1007.001	2	0	1728	68	720	1353	0	475	122	201	4	263	775	56	0	660	132	21	215	676	0	0	616	1	452	0	0
ENSMUSG00000029505	Ep400	2593	26	3	16	8	1958	11	6694.001	304	8	1614	3248.724	832	20	532	258.051	1188	71	145	1132.001	1584	814.003	1601	772.206	1494	1102	546.001	1329	1677	44
ENSMUSG00000029507	Pus1	0	27	0	1520.994	0	1	0	0	0	0	324	183	184	0	9	13	225	1	46	111.464	46.769	2	4	0	0	437.871	268	27	13	430.441
ENSMUSG00000029510	Gpc2	0	3	0	2	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	7	0
ENSMUSG00000029512	Ulk1	134	44	159	336	60	563.001	768	3301	56	401.001	1238	1504	126	19	1044	462	249	210	188	1320	165	687	2038	228	267	1281	6	516	156	1928
ENSMUSG00000029513	Prkab1	1325	0	286	27	0	12	1840	1592	0	0	618	0	1971.999	6	159	0	581	0	58	273	1	236	0	371	362.999	705	0	5	0	0
ENSMUSG00000029516	Cit	0	3	5063	726	507.482	12938.002	1518.999	4764.999	2950	734	1786.585	108	1489	28.009	594	3773.999	941	1246	2360	189.001	2535	1005	1921	401.031	915.999	152.001	2338.001	11365.778	75	1408
ENSMUSG00000029517	Ankrd7	0	0	0	0	0	0	0	0	0	0	0	0	0	3	140	0	0	0	0	0	4	217	0	0	0	1	0	0	1	0
ENSMUSG00000029518	Rab35	10	1	825	384	5	1516.981	6	0	2	430	979	1285	2	4	164	609	596	0	40	127	142	341	1195	18	986	418	1046	342	538	185
ENSMUSG00000029521	Chek2	0	6	0	4	3	0	0	1	2	4	2	0	1	3	279	3	2	4	14	753	4	20	3	1	0	10	0	9	4	9
ENSMUSG00000029522	Pla2g1b	1	0	0	0	0	0	0	0	0	1	0	1	0	2	1	0	0	4	0	0	0	0	0	0	0	0	1	1	0	1.185
ENSMUSG00000029524	Sirt4	1078	0	635	853	1858	1497	3	1181.999	969	1	224.001	2497	0	14	1665.999	47	790	1344	322	30	1269	288	356	567.001	347	14.001	410	286.999	13	148
ENSMUSG00000029526	1700123K08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029528	Pxn	1014	0	508	0	0	373	72	801.496	94.999	0	225	1688	880	10	134	150	321	91	577	1764	632.999	195	1043	572	312	1304	9	287	1447	2
ENSMUSG00000029530	Ccr9	1	0	2	6	0	1	0	0	0	1	0	2	0	3	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0
ENSMUSG00000029534	St7	1887.001	11193.951	1218.364	1361.527	745	2348.029	1024.103	3006.602	2	2	1574.666	687	751	326	277.001	1255	324	0	404	135	168	430	850	692	24	58	830.999	1893.971	3978.001	3
ENSMUSG00000029535	Triap1	0	0	550	882	2	0	458	0	2097	1388	1056	2927	963	6	414	1132	326	25	762	43	40	739	5	398	1040	11	410	0	803	0
ENSMUSG00000029536	Gatc	0	0	1491	0	11	1486	8	8	1338	2	1043	103	648	12	472	366	1200	3092	1172	177	446	746	0	1	1505	605	297	1790	10	32
ENSMUSG00000029538	Srsf9	2683	0	3829	1899	7122	4049.001	1048	7271	1792.999	3619.001	3243	6180	4420	39	3599	2558	937	19	1786	4217	1194.001	1448	3197	2879.999	4129	3399	745.999	487	3686.999	2616
ENSMUSG00000029541	Cyp2w1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029544	Cabp1	455	4358	582	233	376	480	1005	741.001	604	337	460	1287	570	48	775	241	577.999	692	458	557	407	665	731	1018	70	318	269	718	846	545
ENSMUSG00000029545	Acads	2	0	0	0	76	0	0	0	0	0	0	0	721	0	0	0	0	2	1	0	7	0	0	1	0	0	67	0	0	0
ENSMUSG00000029546	Uncx	0	0	0	1	329	0	0	0	0	0	0	0	158	0	49	0	17	0	0	18	1	120	0	0	0	2	0	0	0	0
ENSMUSG00000029547	Ints1	1327	0	1729	1330	1984	1120	139	3234.002	817	97	481	509.999	737	4	525	563	1356.999	260	168.001	1859	1096	24	21	804	177	1380.999	25	2224.999	2228	38
ENSMUSG00000029550	Sppl3	255.589	18	48	4	0	1754.181	1626.181	9	190.423	391.099	2255.499	10	524	43.794	3782.461	1635.233	2908.152	130.067	595.652	1636.43	6269.787	784.351	483.565	1086.029	433.945	932.314	505.548	25	3760.001	2.01
ENSMUSG00000029551	Psmg3	44	6066	276	1	2462	325	500	535	321	0	81	603	554.024	5	336	0	122	0	423	634	37	238	3	488	180	621	449	18	916	2
ENSMUSG00000029552	Tes	0	0	0	0	0	0	5512	0	0	0	3	0	912	4	169	2	0	0	1	1	3	236	0	1099	0	0	0	0	0	5
ENSMUSG00000029553	Tfec	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000029554	Mad1l1	5	0	0	0	1	505	591	0	0	0	7	1517	0	7	229	975	160	1980	653	53	6	429	1567.001	0	344	10	0	0	0	0
ENSMUSG00000029556	Hnf1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13.518	0	0	0	21.829	0	207.814	1	1	0
ENSMUSG00000029557	Mrm2	1	0	0	0	0	568	283	890	0	0	0	0	344	1	202	945	148	1	495	115	2	272	1356	0	270	504	0	0	0	0
ENSMUSG00000029559	2210016L21Rik	282	6140	2733	2709	5756	3233	1218	1186	1657	303	2616	2968	1953	666	1902	2128	1988	7048	873	1521.001	706.482	2960	919	1622	4065.171	4655	2058.186	3357	3609	1019
ENSMUSG00000029560	Snx8	0	0	0	391	0	1801	7	0	1	5	51	31	235	2	57	821	0	0	0	0	1	78	0	0	2	0	0	0	1	0
ENSMUSG00000029561	Oasl2	1	2	0	2	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	35	0	0	1	0	0	196	0	0	1
ENSMUSG00000029563	Foxp2	918	18.013	2	863	3	110	0	5	70	10	155	1	21	32	471	917	313	24	9	4	18	723.218	11	365	5	3	6	7	12	43
ENSMUSG00000029564	4930519G04Rik	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1
ENSMUSG00000029569	Tmem168	518	0	0	2430	0	0	0	2698	2861	0	0	41	0	22	589	1	155	2	0	41	22	1004	1	19	162	19	3	936	3359	1
ENSMUSG00000029570	Lfng	0	12	0	0	0	0	0	0	0	16	1	13	60	0	21	134	1	182	1	0	0	39	0	303	0	0	0	0	0	0
ENSMUSG00000029571	Tmem106b	919	6172	52	2488	590	3687	1886	2597	314	1016	1193	1229	1622	40	2456	6084	278	113.001	481	552	334	1063	1458	3838	1226	1173.001	3932	224	822	33
ENSMUSG00000029575	Mmab	1405	7253.999	99	109	1539	68	2	0	267	236	93	1335	1	18	793.999	1633	1	0	440	23	36	1079	1	9	1912.093	18	18	1233	0	2701
ENSMUSG00000029576	Radil	239	2	0	1	0	0	12	1351	0	12	336	1464.999	507	11	140	0	37	0	229	291	14	221	0	1	0	13	76	1	0	0
ENSMUSG00000029577	Ube3b	33	0	1	42	1281	419	2184	2	373	1943	890	399	358	9	364	674	269	986	718	1542	76	608	259	1224	615	1048	772.998	437	0	1019
ENSMUSG00000029578	Wipi2	880	4030.999	8	95.317	638	1334.999	1281	2338.003	3	1898	1921.051	1152	760	25	611.033	204	943	992	2370	2393.033	200.001	971	1368	976	1858.999	2019	1306.999	2260	27.007	4
ENSMUSG00000029580	Actb	3245.253	21296.678	7709.208	9402.451	19607.985	9482.049	16307.556	15941.374	10980.784	12815.23	13785.28	14960.023	17173.659	2325.958	10893.219	10744.859	3898.004	7603.877	11473.039	10445.621	3451.797	10280.912	5350.039	16236.961	11167.151	16127.666	5190.449	5306.217	12793.046	31345.117
ENSMUSG00000029581	Fscn1	1451	2	983	1875	1828	1398	1540	3297.023	910	286	604	429	2131	252	597	2228	1016.999	2504	782	1325	1039	996.999	574	1593	399	1413	597	441	1942	273
ENSMUSG00000029586	Spdye4b	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000029587	Zfp12	30	1213	0	533	4601	194	23	408.644	1	0	950	32	0	26	2214	1400	493	19	346	203	341.995	400.922	0	264	0	852	181	42	0	1
ENSMUSG00000029591	Ung	0	0	0	0	0	0	0	0	1	0	719	0	0	434	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000029592	Usp30	1	0	42.001	0	0	268.999	973.418	1656	857	3	17.94	0	3.077	6.287	652.244	36.202	0	60.001	1449.904	159.454	97.696	314.184	263.337	26.49	489.376	471.934	856.115	0	0	151
ENSMUSG00000029594	Rbm19	233.001	7	0	2	0	0	0	240	0	0	548	1	120	4	194	0	153	67	518	29	43.001	334	0	0	1208.506	8	512.001	9	0	0
ENSMUSG00000029595	Lhx5	0	0	2	0	0	0	0	0	0	0	0	1	0	1	11	0	0	0	1	0	1	20	0	0	0	0	0	0	0	0
ENSMUSG00000029596	Sdsl	0	0	0	0	1330	342	0	0	0	555	0	41	0	0	0	0	32	0	7	448	5	0	0	0	0	20	0	145	0	0
ENSMUSG00000029597	Sds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029598	Plbd2	7	147	1843	1176	590	1614	2327	1	1099	7	1110.001	1208	2385	9	203	101	237	21	980	224	854	313	16	88	728	632	1157	1847	270	7
ENSMUSG00000029599	Ddx54	293	0	0	20.639	3816.03	0	1287.816	0	1372.807	0	2	12	75	6	135	197.095	786.698	0	27	821	0	231	1233.642	1651.09	504.43	18.687	2	1	0	684.496
ENSMUSG00000029600	Rita1	587	0	362	1073.004	15	111.078	775	1850	0	121	9	1	356	14	502.001	120	0	432	267	813	65	774	702	342	462	197.999	592	0	165	0
ENSMUSG00000029601	Iqcd	0	0	0	0	0	185.922	3	0	0	0	125	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029602	Rasal1	2227	4205	4641.999	778	0	33	2313	4618	6176.001	180	1838	975	844	1567	2983.001	2920.001	5548	662	4715	2489.001	2208	1264	1630	2675	6695	1475	3132	1	1073	3117
ENSMUSG00000029603	Dtx1	696	1	917	1006	837	1594.001	811	2045.001	1230.001	79	135	602	90	20	489	777.001	927	24	336	102	25	858	14	5	871	389	24	493	859	125
ENSMUSG00000029607	Ankrd61	0	0	0	0	0	0	0	0	0	0	0	1317	1.002	1	5.037	0	0	112.362	0	0	0	3.004	0	0	0	0	0	0	23.205	0
ENSMUSG00000029608	Rph3a	1578	9	308	1064	90	2213	544	1685	1770	443	2339	1368	973	614	727	871	611.128	1300	243	154	43.13	1090	1049	656	1318	21	25	682	1736	87
ENSMUSG00000029610	Aimp2	179.982	0	0	158	3560.799	1343.699	2427.836	2695.915	89.166	46.429	771.221	11.629	2.982	375.724	2523.09	129.056	0	1032.224	579.17	562.737	17.08	995.69	6.491	21.006	1621.994	1466.771	3.253	88	786.866	4397.502
ENSMUSG00000029613	Eif2ak1	409.018	1	2302.999	0	9.201	1571.301	2517.165	8.086	862.834	2.571	3012.778	368.371	1031.015	52.276	1225.874	123.944	0	74.414	1225.83	973.263	22.92	1963.305	803.509	1130.994	2453.006	2626.229	77.747	0	2517.929	15.497
ENSMUSG00000029614	Rpl6	3112.001	19	4560	2489	9170	3382.967	7383	8041.999	2075.999	5376.001	4458.176	3035.001	5116.001	389	3683	5818.999	4282.999	3473.96	5575	2840	3896.999	3686	5294.954	5056.999	6347	5560	2735	2330	2459	922
ENSMUSG00000029616	Erp29	2232.996	4366.917	875.348	2056.04	1526	2716.871	597.395	1880.175	325.06	8	1524.655	3548.344	2201.011	37.287	1487.49	523.281	990	2196.935	3299.714	1454.802	136.224	2254.454	2872.579	228.895	2396.711	1525.519	1468.115	227.564	3228.245	114.386
ENSMUSG00000029617	Ccz1	11.004	101.003	5383.584	439.019	1048	296	220	1630.283	4	904.001	1934	1388	354	38	610	196	869.004	4	2127	1221.001	42	1021.001	1160	1	281	1303	13	1361.131	16	374.023
ENSMUSG00000029618	Ocm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	57	1	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000029620	1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029621	Arpc1a	204	355	5896	3078	2672	751	5158	157	8922	1345	9982.001	6733	2522	150	5210	5098	3307	1421	7618	3339.681	379	6156	2730	2709	9206.001	13257	2500	2151	7135	4855
ENSMUSG00000029622	Arpc1b	2	0	36	2	6	0	2044	0	0	2211.999	56.037	2193.631	3241.001	2.159	86.03	1283.498	292	0	558.468	1230.959	16.225	97.73	900	4057.812	2.009	813.663	13	732	1832.154	32
ENSMUSG00000029623	Pdap1	160	15.999	359	778	887	1138	687	551	10	484	775.963	437.369	600	69.841	716.971	1845.503	191	174	1036.532	390.36	122.775	797.271	350	650.188	964.991	1170.337	929	550	1228.847	299
ENSMUSG00000029624	Ptcd1	41.965	0	1241.105	21.764	545.934	456.408	3.186	630.858	230.719	1.068	26.292	2519.723	1.192	10.486	153.011	145.535	119.589	0	1136.654	406.721	2324.684	213.545	1.034	1119.628	1095.201	1195.377	946.433	1	0	4309.815
ENSMUSG00000029625	Cpsf4	1414	0	750	1	0	759.999	2	553	1	1	1257.999	2	1054	20	1024	1140.999	532	1482	39	144	14	1082.999	0	895	647.999	402.001	0	45	1	0
ENSMUSG00000029627	Zkscan14	0	0	1078.945	0	1	2	0	0	0	0	0	1	78	1	0	1699	5	1	1	4	0	0	0	726	0	1	0	1	0	0
ENSMUSG00000029629	Phf14	5824	4199	2565	1364	3515	370	239.001	1170	1255	1070	1535	5060.001	674	1326	1178	951	3257.001	710	2115	2489	836.999	1458	1898	1967	2810.999	3400.999	1616.001	3252	3862.998	1433
ENSMUSG00000029630	Cyp3a25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029632	Ndufa4	5327	11298.999	8996	10888	28368.999	12602.998	9830	3272.999	1047	11120.001	16187.001	8229.999	5869	1908	13483	10935.999	7129	11320	7167	2078	1661.001	17025	12157.001	7106	12490.001	8777	5934	8842.001	8004	7179
ENSMUSG00000029634	Rnf6	58	26	1506	4	7755	1274	10	0	0	280	1414.999	2994	691	21	1065	1839	54	0	1196	1539	4134	1568	1118	532	1831.001	4180	1147	211	2416.946	4891
ENSMUSG00000029635	Cdk8	1746	3656.999	600	3	0	261.018	781	2925	943	315	2359.001	116	1327	21	414	7	1228.999	481	2835	2346.999	41	607.999	11	590.981	1042	1521.999	16	886	1772.999	3
ENSMUSG00000029636	Wasf3	4293	2	670	916	2072	77	865	34	0	1591	807	17	1072	14	497	439	173	4	701	430	2236	624	1640	723	301	517.045	237	992	3	1625
ENSMUSG00000029638	Glcci1	0	0	0	249	825	556	1425	1.006	0	1	533	105	12	61	202	825	49	1274	1009	1135	12	345.053	519	0	3	28	18	11	128	439
ENSMUSG00000029640	Usp12	0	1	791	344	160	254	837	0	0	270	320	1	700	12	888	333	830	0	262	988	36	633	589	1582	13	237	280	0	1318	0
ENSMUSG00000029641	Rasl11a	1	0	0	2	0	0	0	0	0	0	0	1	598	9	334	665	684	4	0	0	7	554	251	493	550	0	1	0	10	5
ENSMUSG00000029642	Polr1d	1087	11	1444	1241	5198.999	995.001	1488	1945	1426	507	1877.001	1059	867	39	2145	2009	2277	135	1132	302	87	2205	792	0	1466	1530	20	1485	1211	2043
ENSMUSG00000029644	Pdx1	0	1	0	0	0	0	0	0	1	0	0	0	0	9.91	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029646	Cdx2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029647	Pan3	3519	2.002	0	60	96	1821.845	1478	3686	113	13	3017	457	99	7.066	1249	143.999	1017.001	1047	2289	1458	133	84.001	573	1231.001	525	1135	288	3469.999	409	5
ENSMUSG00000029648	Flt1	1	4	1	964	2	162	4	2	9.614	2	2	2	0	3	0	1	1	1	9	0	0	0	5	1	0	3	1	0	1	437
ENSMUSG00000029649	Pomp	1076	5185.001	2499	4751	50	2399	2435	4234.001	1297	4143	5651	5094	2414.999	96	3251	2218	1885.001	3084.001	3148.999	1434	1428.999	4058.001	3687	4227	3228	6184	1082	2443	3529.001	925
ENSMUSG00000029650	Slc46a3	153	0	241	0	0	43	0	0	0	10	0	0	0	0	0	0	18	0	0	71	16	0	0	0	0	21	218	0	0	1
ENSMUSG00000029651	Mtus2	2	4	2	213	10	28	1728.001	4	36	3	942.001	0	1393	30	710	2098.001	1611	46	1110	357	3000	1180	237	652.001	1347	1889	926	402	2033.999	1141
ENSMUSG00000029655	N4bp2l2	985	20	2709.765	731	5	1596	563.001	3057.711	4902	2506	687.995	4127.001	962.01	1484	665.594	198.001	4299.001	2391	1501.993	939.971	446.001	762	493	507	1155	365	923	3616	12.576	9
ENSMUSG00000029656	C8b	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000029657	Hsph1	11281	18593.001	7842	1762	4634	2177	4765	8690	2596.001	4842	5122	2385.999	5266	1833.999	8766.938	7757.999	3164	5292	7960	2810	4604.966	4263	6449	3223	8766	9798.001	2108.001	1014	9019.001	21481
ENSMUSG00000029658	Wdr95	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	0	119
ENSMUSG00000029659	Medag	1	0	0	2951	6	0	0	3	1	0	124	3	0	11	212	2073	717	0	343	175	5	298	244	5	2	3	2	100	627	1
ENSMUSG00000029660	Tex26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029661	Col1a2	1	176	97	3	638	28.931	1	0	0	12	2	2	0	1	17	10	0	1	5	7	18.999	18	0	1	0	5	2	764	6	0
ENSMUSG00000029663	Gngt1	2	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	3	0	0	1	0	0	0	1	0	0	1
ENSMUSG00000029664	Tfpi2	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029669	Tspan12	1	0	95.001	0	136	0	7099.001	88.005	0	1370	435	79	0	2	129	240	47.999	5	604	37	155	256	283	0	8	10	179	5126	0	0
ENSMUSG00000029670	Ing3	11	1	0	1	0	1615.999	6	125	91	1051	45	4	0	16	465	18	224	0	15	34	50	722	8	185	124.001	213	353	0	137	0
ENSMUSG00000029671	Wnt16	0	0	0	1	0	0	0	0	0	0	118	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000029672	Fam3c	567	2	1	2	5522	5547	2032	1120.999	0	1048.999	850	1469	1318	38	1177	3175	998	1	82	64	18	1858	1085	30	1738	74	1	104	1	4
ENSMUSG00000029673	Auts2	8553	9	761	6	420.517	858	754.934	1031	1936.996	1715	1751	2168	4970.806	44.528	847.999	1945.553	763.018	1255	1800	1760	1006	1231	3088.741	1330.651	788	599	2641	395	161.998	691.989
ENSMUSG00000029674	Limk1	0	0	257	27	190	1132.896	3	851	1802	118	57	2	277	6	186.174	73	0	32	1131	92	39	346	421	134	0	8	9	1061.999	252.925	5
ENSMUSG00000029675	Eln	2	4	0	1	1	0	1	0	5	4	182.094	0	0	3	87	3	490.653	2	0	1	0	147	0	0	0	0	1	1	0	9
ENSMUSG00000029676	Pot1a	35	1.002	0	6534	11	1506	1062	205	0	0	635	0	999	6	351	4	1294	1	96	153	420	262	2	1	0	1182	1702	1	1	32
ENSMUSG00000029678	Hyal5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029679	Hyal6	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029680	Hyal4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000029681	Bcl7b	716	1	1389	45	2835	599	1697	1	742	1289	1197	36	1263	26	1264	3492	1116	3411	1167	260.492	1366	1007	1201	1	2102.786	828	702	5	2851	62
ENSMUSG00000029682	Spam1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSMUSG00000029683	Lmod2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029684	Wasl	796	2	1682	18	1761	1553	1628	4695	4194.999	1847	6436.044	4116	505	262	2964	2838	4931.999	4080	4353	2471	1985	2712	636	2467	4959	5194	2697	1330	1594.001	7493
ENSMUSG00000029685	Asb15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029686	Cul1	3573	4	1641.001	2818	1577.999	3875	3848	326	357	756	2653	4391.001	2099	1418	5964	5244.999	765	458	2454	1153	208	2253	5345	3582.001	1458	5841	51	5760	1113	3679
ENSMUSG00000029687	Ezh2	0	0	28	2	0	1	6	1	1	0	0	1	0	29.999	1773	112	157	2036.999	0	5	8	558.001	582	0	191	4	0	0	0	0
ENSMUSG00000029695	Aass	0	0	0	226	0	522	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000029697	Fezf1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	87	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000029699	Ssc4d	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1.687	0	0	0	1	2	1	0	0	0	0	0	0	0	1
ENSMUSG00000029700	Slc13a1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	2	0	0	4	0	0
ENSMUSG00000029701	Rbm28	3221	0	1143	1	0	548	606.999	3072	9	1503	2624.001	951	510	13	1508.001	1330	663	1	2334	1158.338	3770.001	511	107	472	831	231.336	1356	1806	2765	0
ENSMUSG00000029703	Lrwd1	0	1	418	2.03	1.043	1.077	1.029	0	1.286	4.07	1.056	46.058	62.689	9.541	39.578	496.249	0	2.04	10	333.558	0	85.206	3.029	0	0	10.468	2.396	0	88.746	1.118
